考區,申請系所,FCU,FCU_AM
國立中興高中,"逢甲大學應用數學系
東海大學應用數學系",0,0
國立虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
逢甲大學環境工程與科學學系",1,0
高雄市立左營高中,"逢甲大學應用數學系
靜宜大學生態人文學系-類繁星
靜宜大學化粧品科學系-類繁星
長榮大學保健營養學系",0,0
國立台南二中,"逢甲大學應用數學系
逢甲大學統計學系",1,1
國立臺中二中,"逢甲大學應用數學系
東吳大學數學系
逢甲大學統計學系
逢甲大學資訊電機學院不分系榮譽班
靜宜大學財務與計算數學系計算數學組
國立臺中教育大學數學教育學系",1,1
國立中央大學附屬中壢高中,"逢甲大學應用數學系
東海大學食品科學系
淡江大學數學學系數學組",0,0
國立中央大學附屬中壢高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學材料科學與工程學系
銘傳大學資訊工程學系(桃園校區)",1,0
國立基隆女中,"逢甲大學應用數學系
中原大學應用數學系
國立宜蘭大學應用經濟與管理學系",0,0
高雄市立中正高中,逢甲大學應用數學系,1,1
國立虎尾高中,"逢甲大學應用數學系
義守大學化學工程學系",1,1
國立澎湖科技大學,"逢甲大學應用數學系
國立臺灣師範大學生命科學系
國立澎湖科技大學電信工程系
國立澎湖科技大學資訊工程系
國立勤益科技大學冷凍空調與能源系",1,1
國立斗六高中,"逢甲大學應用數學系
淡江大學資訊與圖書館學系
靜宜大學應用化學系
銘傳大學醫療資訊與管理學系健康產業管理組(桃園校區)",0,0
國立中興大學附中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系(生化工程組)
東海大學統計學系(決策管理組)
逢甲大學機械與電腦輔助工程學系
靜宜大學資料科學暨大數據分析與應用學系-類繁星
國立勤益科技大學冷凍空調與能源系",0,0
私立復旦高中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
靜宜大學財務與計算數學系計算數學組
銘傳大學資訊工程學系(桃園校區)",0,0
國立屏東女中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學通訊工程學系
靜宜大學資訊工程學系
義守大學資訊工程學系
朝陽科技大學保險金融管理系",1,1
新北市立新莊國中,"中原大學應用數學系
中國文化大學應用數學系",1,1
國立臺中一中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學精密系統設計學士學位學程
弘光科技大學資訊管理系
中臺科技大學護理系
中臺科技大學視光系",1,0
國立嘉義女中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
東海大學應用物理學系光電組
國立金門大學土木與工程管理學系
嘉南藥理大學保健營養系",0,0
國立清水高中,"逢甲大學應用數學系
東海大學應用數學系
國立嘉義大學應用數學系",0,0
國立臺南一中,逢甲大學應用數學系,1,1
高雄市立中山高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學資訊工程學系
義守大學資訊工程學系",1,0
高雄市立中山高中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
東海大學統計學系(大數據與決策管理組)
淡江大學數學學系資料科學與數理統計組
國立東華大學應用數學系統計科學組",0,0
臺中市立文華高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學航太與系統工程學系
逢甲大學財務工程與精算學士學位學程
國立臺中教育大學數學教育學系",1,0
國立虎尾高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
東海大學統計學系(社會組)",0,0
私立新民高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
逢甲大學財務金融學系",1,1
私立明德高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學物理學系物理組
淡江大學物理學系應用物理組",1,1
高雄市立中山高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學統計學系
國立屏東大學應用數學系",0,0
桃園市立平鎮高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
銘傳大學資訊工程學系(桃園校區)",0,0
國立新竹女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學光電學系
逢甲大學通訊工程學系",1,1
國立中興大學附中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學水利工程與資源保育學系",0,0
新竹市立建功高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學統計學系
靜宜大學統計資訊學系",1,1
國立中興大學附中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
長庚科技大學護理系(林口校區)",1,1
國立鳳新高中,"逢甲大學應用數學系
東吳大學數學系
東吳大學財務工程與精算數學系
淡江大學會計學系
逢甲大學財稅學系
銘傳大學會計學系稅務規劃組(臺北校區)",1,0
私立長榮高中,"逢甲大學應用數學系
國立臺東大學應用數學系
義守大學財務與計算數學系",1,1
國立竹北高中,"逢甲大學應用數學系
東海大學應用物理學系
中國文化大學光電物理學系
中國文化大學資訊工程學系
輔仁大學物理學系物理組",0,0
私立育達高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
淡江大學數學學系資料科學與數理統計組
逢甲大學統計學系
輔仁大學數學系應用數學組
龍華科技大學國際企業系
明志科技大學環境與安全衛生工程系",0,0
國立臺中二中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
開南大學應用日語學系
亞洲大學健康產業管理學系健康產業管理組
亞洲大學視光學系
中臺科技大學視光系
中臺科技大學醫療暨健康產業管理系
中臺科技大學醫學影像暨放射科學系",0,0
國立陽明高中,"逢甲大學應用數學系
中國文化大學應用數學系
銘傳大學會計學系(臺北校區)
實踐大學會計學系(臺北校區)",1,1
國立武陵高中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
逢甲大學水利工程與資源保育學系
中國文化大學光電物理學系
中國文化大學機械工程學系",1,1
國立斗六高中,"逢甲大學應用數學系
靜宜大學財務金融學系
台南應用科技大學旅館管理系",0,0
私立弘文高中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系",1,1
國立臺南一中,"逢甲大學應用數學系
東海大學化學工程與材料工程學系
靜宜大學統計資訊學系(工業工程統計組)
正修科技大學企業管理系經營管理組
樹德科技大學電腦與通訊系
南臺科技大學化學工程與材料工程系
朝陽科技大學資訊與通訊系",1,1
國立中興大學附屬高中,"逢甲大學應用數學系
東海大學應用物理學系材料及奈米科技組
東海大學應用物理學系光電組
逢甲大學光電學系
逢甲大學自動控制工程學系
逢甲大學水利工程與資源保育學系",1,0
國立台中一中,"逢甲大學應用數學系
東海大學統計學系(自然組)
逢甲大學統計學系
靜宜大學財務與計算數學系計算數學組-類繁星",1,1
私立道明高中,"逢甲大學應用數學系
銘傳大學商品設計學系(桃園校區)",1,1
國立嘉義高中,"逢甲大學應用數學系
淡江大學統計學系
逢甲大學統計學系
亞洲大學會計與資訊學系管理應用組
朝陽科技大學資訊工程系
南臺科技大學生物科技系
明志科技大學工業工程與管理系",1,0
國立彰化師大附屬高工,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
中國文化大學應用數學系
中國文化大學心理輔導學系",0,0
國立臺南二中,"逢甲大學應用數學系
東海大學統計學系(決策管理組)
靜宜大學資料科學暨大數據分析與應用學系-一般組
靜宜大學會計學系-一般組
朝陽科技大學財務金融系
嶺東科技大學國際企業系
嶺東科技大學財務金融系",1,1
國立嘉義女中,"逢甲大學應用數學系
東海大學應用數學系
國立虎尾科技大學材料科學與工程系",1,1
逢甲大學,"逢甲大學應用數學系
國立屏東教育大學應用數學系
義守大學醫學影像暨放射科學系
國立澎湖科技大學食品科學系
嘉南藥理科技大學醫藥化學系
弘光科技大學護理系
明志科技大學材料工程系
中臺科技大學護理系",0,0
國立屏東大學民生校區,"逢甲大學應用數學系
國立屏東大學電腦與智慧型機器人學士學位學程
國立臺東大學資訊工程學系
亞洲大學資訊工程學系數位內容與遊戲設計組",0,0
