FCU,FCU_AM,total_uni,uni_0,uni_1,uni_2,uni_3,uni_4,uni_5,uni_6,uni_7,uni_8,uni_9,uni_10,hs_state,no_public,ratio_public,no_fcu,ratio_fcu,no_math,ratio_math,taichung,hs_from_taichung,uni_mean,distance,similar_no,no_stat
0,0,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,南投縣,0,0.0,1,0.5,2,1.0,0,1,207.625,0,11,0
1,0,4,逢甲大學應用數學系,中原大學應用數學系,東海大學統計學系(自然組),逢甲大學環境工程與科學學系,0,0,0,0,0,0,0,雲林縣,0,0.0,2,0.5,2,0.5,0,1,219.25,2,14,1
0,0,4,逢甲大學應用數學系,靜宜大學生態人文學系-類繁星,靜宜大學化粧品科學系-類繁星,長榮大學保健營養學系,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.25,1,0.25,0,2,227.375,4,6,0
1,1,2,逢甲大學應用數學系,逢甲大學統計學系,0,0,0,0,0,0,0,0,0,臺南市,0,0.0,2,1.0,1,0.5,0,2,257.75,3,9,1
1,1,6,逢甲大學應用數學系,東吳大學數學系,逢甲大學統計學系,逢甲大學資訊電機學院不分系榮譽班,靜宜大學財務與計算數學系計算數學組,國立臺中教育大學數學教育學系,0,0,0,0,0,臺中市,1,0.16666666666666666,3,0.5,5,0.8333333333333334,1,0,288.75,0,15,1
0,0,3,逢甲大學應用數學系,東海大學食品科學系,淡江大學數學學系數學組,0,0,0,0,0,0,0,0,桃園市,0,0.0,1,0.3333333333333333,3,1.0,0,2,242.375,3,8,0
1,0,4,逢甲大學應用數學系,中原大學應用數學系,逢甲大學材料科學與工程學系,銘傳大學資訊工程學系(桃園校區),0,0,0,0,0,0,0,桃園市,0,0.0,2,0.5,2,0.5,0,2,230.75,3,14,0
0,0,3,逢甲大學應用數學系,中原大學應用數學系,國立宜蘭大學應用經濟與管理學系,0,0,0,0,0,0,0,0,基隆市,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,3,197.5,5,11,0
1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,臺北市,0,0.0,1,1.0,1,1.0,0,3,153.125,5,6,0
1,1,2,逢甲大學應用數學系,義守大學化學工程學系,0,0,0,0,0,0,0,0,0,雲林縣,0,0.0,1,0.5,1,0.5,0,1,205.25,2,7,0
1,1,5,逢甲大學應用數學系,國立臺灣師範大學生命科學系,國立澎湖科技大學電信工程系,國立澎湖科技大學資訊工程系,國立勤益科技大學冷凍空調與能源系,0,0,0,0,0,0,澎湖縣,4,0.8,1,0.2,1,0.2,0,3,327.25,7,6,0
