,hs,申請系所,FCU,FCU_AM,total_uni,uni_0,uni_1,uni_2,uni_3,uni_4,uni_5,uni_6,uni_7,uni_8,uni_9,uni_10,hs_state,no_public,ratio_public,no_fcu,ratio_fcu,no_math,ratio_math,taichung,hs_from_taichung
0,中興高中,"逢甲大學應用數學系
東海大學應用數學系",0,0,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,南投縣,0,0.0,1,0.5,2,1.0,0,1
1,虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
逢甲大學環境工程與科學學系",1,0,4,逢甲大學應用數學系,中原大學應用數學系,東海大學統計學系(自然組),逢甲大學環境工程與科學學系,0,0,0,0,0,0,0,雲林縣,0,0.0,2,0.5,2,0.5,0,1
2,左營高中,"逢甲大學應用數學系
靜宜大學生態人文學系-類繁星
靜宜大學化粧品科學系-類繁星
長榮大學保健營養學系",0,0,4,逢甲大學應用數學系,靜宜大學生態人文學系-類繁星,靜宜大學化粧品科學系-類繁星,長榮大學保健營養學系,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.25,1,0.25,0,2
3,臺南二中,"逢甲大學應用數學系
逢甲大學統計學系",1,1,2,逢甲大學應用數學系,逢甲大學統計學系,0,0,0,0,0,0,0,0,0,臺南市,0,0.0,2,1.0,1,0.5,0,2
4,臺中二中,"逢甲大學應用數學系
東吳大學數學系
逢甲大學統計學系
逢甲大學資訊電機學院不分系榮譽班
靜宜大學財務與計算數學系計算數學組
國立臺中教育大學數學教育學系",1,1,6,逢甲大學應用數學系,東吳大學數學系,逢甲大學統計學系,逢甲大學資訊電機學院不分系榮譽班,靜宜大學財務與計算數學系計算數學組,國立臺中教育大學數學教育學系,0,0,0,0,0,臺中市,1,0.16666666666666666,3,0.5,5,0.8333333333333334,1,0
5,國立中央大學,"逢甲大學應用數學系
東海大學食品科學系
淡江大學數學學系數學組",0,0,3,逢甲大學應用數學系,東海大學食品科學系,淡江大學數學學系數學組,0,0,0,0,0,0,0,0,桃園市,0,0.0,1,0.3333333333333333,3,1.0,0,2
6,國立中央大學,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學材料科學與工程學系
銘傳大學資訊工程學系(桃園校區)",1,0,4,逢甲大學應用數學系,中原大學應用數學系,逢甲大學材料科學與工程學系,銘傳大學資訊工程學系(桃園校區),0,0,0,0,0,0,0,桃園市,0,0.0,2,0.5,2,0.5,0,2
7,基隆女中,"逢甲大學應用數學系
中原大學應用數學系
國立宜蘭大學應用經濟與管理學系",0,0,3,逢甲大學應用數學系,中原大學應用數學系,國立宜蘭大學應用經濟與管理學系,0,0,0,0,0,0,0,0,基隆市,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,3
8,中正高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,臺北市,0,0.0,1,1.0,1,1.0,0,3
10,虎尾高中,"逢甲大學應用數學系
義守大學化學工程學系",1,1,2,逢甲大學應用數學系,義守大學化學工程學系,0,0,0,0,0,0,0,0,0,雲林縣,0,0.0,1,0.5,1,0.5,0,1
11,國立澎湖科技大學,"逢甲大學應用數學系
國立臺灣師範大學生命科學系
國立澎湖科技大學電信工程系
國立澎湖科技大學資訊工程系
國立勤益科技大學冷凍空調與能源系",1,1,5,逢甲大學應用數學系,國立臺灣師範大學生命科學系,國立澎湖科技大學電信工程系,國立澎湖科技大學資訊工程系,國立勤益科技大學冷凍空調與能源系,0,0,0,0,0,0,澎湖縣,4,0.8,1,0.2,1,0.2,0,3
12,斗六高中,"逢甲大學應用數學系
淡江大學資訊與圖書館學系
靜宜大學應用化學系
銘傳大學醫療資訊與管理學系健康產業管理組(桃園校區)",0,0,4,逢甲大學應用數學系,淡江大學資訊與圖書館學系,靜宜大學應用化學系,銘傳大學醫療資訊與管理學系健康產業管理組(桃園校區),0,0,0,0,0,0,0,雲林縣,0,0.0,1,0.25,1,0.25,0,1
13,國立中興大學,"逢甲大學應用數學系
東海大學化學工程與材料工程學系(生化工程組)
東海大學統計學系(決策管理組)
逢甲大學機械與電腦輔助工程學系
靜宜大學資料科學暨大數據分析與應用學系-類繁星
國立勤益科技大學冷凍空調與能源系",0,0,6,逢甲大學應用數學系,東海大學化學工程與材料工程學系(生化工程組),東海大學統計學系(決策管理組),逢甲大學機械與電腦輔助工程學系,靜宜大學資料科學暨大數據分析與應用學系-類繁星,國立勤益科技大學冷凍空調與能源系,0,0,0,0,0,臺中市,1,0.16666666666666666,2,0.3333333333333333,1,0.16666666666666666,1,0
14,桃園市復旦高中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
靜宜大學財務與計算數學系計算數學組
銘傳大學資訊工程學系(桃園校區)",0,0,5,逢甲大學應用數學系,東吳大學數學系,淡江大學數學學系數學組,靜宜大學財務與計算數學系計算數學組,銘傳大學資訊工程學系(桃園校區),0,0,0,0,0,0,桃園市,0,0.0,1,0.2,6,1.2,0,2
